Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,Product Status,"Resistance","Tolerance","Power (Watts)","Composition","Features","Temperature Coefficient","Operating Temperature","Package / Case","Supplier Device Package","Size / Dimension","Height - Seated (Max)","Number of Terminations","Failure Rate","Ratings"
"https://www.yageo.com/upload/media/product/products/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4842/Yageo-0603.jpg","311-0.0ERTR-ND,311-0.0ERCT-ND,311-0.0ERDKR-ND","RC1206JR-070RL","YAGEO","YAGEO","RES 0 OHM JUMPER 1/4W 1206","1,035,815","0.1","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","RC_L","Active","0 Ohms","Jumper","-","Thick Film","Moisture Resistant","-","-55°C ~ 155°C","1206 (3216 Metric)","1206","0.122"" L x 0.063"" W (3.10mm x 1.60mm)","0.026"" (0.65mm)","2","-","-"
"https://www.yageo.com/upload/media/product/products/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4842/Yageo-0603.jpg","YAG3367TR-ND,YAG3367CT-ND,YAG3367DKR-ND","RC1206FR-070RL","YAGEO","YAGEO","RES 0 OHM JUMPER 1/4W 1206","156,167","0.1","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","RC_L","Active","0 Ohms","Jumper","-","Thick Film","-","-","-55°C ~ 155°C","1206 (3216 Metric)","1206","0.122"" L x 0.063"" W (3.10mm x 1.60mm)","0.026"" (0.65mm)","2","-","-"
"https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AC_51_RoHS_L_10.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4205/AC-Series--SMD-Chip-Resistor.jpg","311-0.0LITR-ND,311-0.0LICT-ND,311-0.0LIDKR-ND","AC1206JR-070RL","YAGEO","YAGEO","RES SMD 0 OHM JUMPER 1/4W 1206","137,347","0.1","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","AC","Active","0 Ohms","Jumper","-","Thick Film","Automotive AEC-Q200, Moisture Resistant","-","-55°C ~ 155°C","1206 (3216 Metric)","1206","0.122"" L x 0.063"" W (3.10mm x 1.60mm)","0.026"" (0.65mm)","2","-","AEC-Q200"
"https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AC_51_RoHS_L_10.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4205/AC-Series--SMD-Chip-Resistor.jpg","13-AC1206JR-130RLTR-ND,13-AC1206JR-130RLCT-ND,13-AC1206JR-130RLDKR-ND","AC1206JR-130RL","YAGEO","YAGEO","RES 0 OHM JUMPER 1/4W 1206","63,420","0.1","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","AC","Active","0 Ohms","Jumper","-","Thick Film","-","-","-55°C ~ 155°C","1206 (3216 Metric)","1206","0.122"" L x 0.063"" W (3.10mm x 1.60mm)","0.026"" (0.65mm)","2","-","AEC-Q200"
"https://www.yageo.com/upload/media/product/products/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4842/Yageo-0603.jpg","13-RC1206JR-100RLTR-ND,13-RC1206JR-100RLCT-ND,13-RC1206JR-100RLDKR-ND","RC1206JR-100RL","YAGEO","YAGEO","RES 0 OHM JUMPER 1/4W 1206","54,138","0.1","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","RC_L","Active","0 Ohms","Jumper","-","Thick Film","Moisture Resistant","-","-55°C ~ 155°C","1206 (3216 Metric)","1206","0.122"" L x 0.063"" W (3.10mm x 1.60mm)","0.026"" (0.65mm)","2","-","-"
"https://www.yageo.com/upload/media/product/products/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4842/Yageo-0603.jpg","13-RC1206JR-7W0RLTR-ND,13-RC1206JR-7W0RLCT-ND,13-RC1206JR-7W0RLDKR-ND","RC1206JR-7W0RL","YAGEO","YAGEO","RES 0 OHM JUMPER 1/2W 1206","33,209","0.1","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","RC_L","Active","0 Ohms","Jumper","-","Thick Film","Moisture Resistant","-","-55°C ~ 155°C","1206 (3216 Metric)","1206","0.122"" L x 0.063"" W (3.10mm x 1.60mm)","0.026"" (0.65mm)","2","-","-"
"https://www.yageo.com/upload/media/product/products/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4842/Yageo-0603.jpg","13-RC1206JR-130RLTR-ND,13-RC1206JR-130RLCT-ND,13-RC1206JR-130RLDKR-ND","RC1206JR-130RL","YAGEO","YAGEO","RES 0 OHM JUMPER 1/4W 1206","23,680","0.1","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","RC_L","Active","0 Ohms","Jumper","-","Thick Film","Moisture Resistant","-","-55°C ~ 155°C","1206 (3216 Metric)","1206","0.122"" L x 0.063"" W (3.10mm x 1.60mm)","0.026"" (0.65mm)","2","-","-"
"https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AC_51_RoHS_L_10.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/5786/THICKFILMRESSMD.jpg","13-AC1206FR-070RLTR-ND,13-AC1206FR-070RLCT-ND,13-AC1206FR-070RLDKR-ND","AC1206FR-070RL","YAGEO","YAGEO","RES CHIP 1206","5,135","0.1","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","AC","Active","0 Ohms","Jumper","-","Thick Film","Automotive AEC-Q200","-","-55°C ~ 155°C","1206 (3216 Metric)","1206","0.122"" L x 0.063"" W (3.10mm x 1.60mm)","0.026"" (0.65mm)","2","-","AEC-Q200"
"https://www.yageo.com/upload/media/product/products/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4842/Yageo-0603.jpg","13-RC1206FR-100RLTR-ND,13-RC1206FR-100RLCT-ND,13-RC1206FR-100RLDKR-ND","RC1206FR-100RL","YAGEO","YAGEO","RES 0 OHM JUMPER 1206","29,145","0.11","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","RC_L","Active","0 Ohms","Jumper","-","Thick Film","Moisture Resistant","-","-55°C ~ 155°C","1206 (3216 Metric)","1206","0.122"" L x 0.063"" W (3.10mm x 1.60mm)","0.026"" (0.65mm)","2","-","-"
"https://www.yageo.com/upload/media/product/app/datasheet/rchip/pyu-af_51_rohs_l.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4845/13_1206-%283216-metric%29.jpg","13-AF1206JR-070RLTR-ND,13-AF1206JR-070RLCT-ND,13-AF1206JR-070RLDKR-ND","AF1206JR-070RL","YAGEO","YAGEO","RES SMD 0 OHM JUMPER 1/4W 1206","11,289","0.11","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","AF","Active","0 Ohms","Jumper","-","Thick Film","Anti-Sulfur, Automotive AEC-Q200","-","-55°C ~ 155°C","1206 (3216 Metric)","1206","0.122"" L x 0.063"" W (3.10mm x 1.60mm)","0.026"" (0.65mm)","2","-","AEC-Q200"
"https://www.yageo.com/upload/media/product/app/datasheet/rchip/pyu-aa_51_rohs_l.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2612/1206-%283216-Metric%29-AA-Series.jpg","13-AA1206JR-070RLTR-ND,13-AA1206JR-070RLCT-ND,13-AA1206JR-070RLDKR-ND","AA1206JR-070RL","YAGEO","YAGEO","RES SMD 0 OHM JUMPER 1/4W 1206","3,773","0.2","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","AA","Active","0 Ohms","Jumper","-","Thick Film","Anti-Sulfur, Automotive AEC-Q200, Moisture Resistant","-","-55°C ~ 155°C","1206 (3216 Metric)","1206","0.122"" L x 0.063"" W (3.10mm x 1.60mm)","0.026"" (0.65mm)","2","-","AEC-Q200"
"https://www.yageo.com/upload/media/product/app/datasheet/rchip/pyu-ar_51_rohs_l.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4845/13_1206-%283216-metric%29.jpg","13-AR1206JR-070RLTR-ND,13-AR1206JR-070RLCT-ND,13-AR1206JR-070RLDKR-ND","AR1206JR-070RL","YAGEO","YAGEO","RES SMD 0 OHM JUMPER 1/4W 1206","3,099","0.51","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","AR","Active","0 Ohms","Jumper","-","Thick Film","Moisture Resistant","-","-55°C ~ 155°C","1206 (3216 Metric)","1206","0.122"" L x 0.063"" W (3.10mm x 1.60mm)","0.026"" (0.65mm)","2","-","-"
"https://www.yageo.com/upload/media/product/app/datasheet/rchip/pyu-pa_jumper_l_51_rohs.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2494/CRSM%20PT1206.jpg","13-PA1206-R-070RLTR-ND,13-PA1206-R-070RLCT-ND,13-PA1206-R-070RLDKR-ND","PA1206-R-070RL","YAGEO","YAGEO","RES 0 OHM JUMPER 1206","3,065","0.99","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","PA","Active","0 Ohms","Jumper","-","Metal Element","Automotive AEC-Q200, Current Sense, Moisture Resistant","-","-55°C ~ 170°C","1206 (3216 Metric)","1206","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","-","2","-","AEC-Q200"
"https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AC_51_RoHS_L_10.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4205/AC-Series--SMD-Chip-Resistor.jpg","13-AC1206JR-100RLTR-ND,13-AC1206JR-100RLCT-ND,13-AC1206JR-100RLDKR-ND","AC1206JR-100RL","YAGEO","YAGEO","RES 0 OHM JUMPER 1/4W 1206","35,767","0.1","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","AC","Active","0 Ohms","Jumper","-","Thick Film","-","-","-55°C ~ 155°C","1206 (3216 Metric)","1206","0.122"" L x 0.063"" W (3.10mm x 1.60mm)","0.026"" (0.65mm)","2","-","AEC-Q200"
"https://www.yageo.com/upload/media/product/products/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/5786/THICKFILMRESSMD.jpg","13-RC1206FR-7W0RLTR-ND,13-RC1206FR-7W0RLCT-ND,13-RC1206FR-7W0RLDKR-ND","RC1206FR-7W0RL","YAGEO","YAGEO","RES 0 OHM JUMPER 1206","9,000","0.11","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","RC_L","Active","0 Ohms","Jumper","-","Thick Film","Moisture Resistant","±200ppm/°C","-55°C ~ 155°C","1206 (3216 Metric)","1206","0.122"" L x 0.063"" W (3.10mm x 1.60mm)","0.026"" (0.65mm)","2","-","-"
"https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_51_RoHS_P_5.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/5786/THICKFILMRESSMD.jpg","13-RC1206JR-070RPTR-ND,13-RC1206JR-070RPCT-ND,13-RC1206JR-070RPDKR-ND","RC1206JR-070RP","YAGEO","YAGEO","RES 0 OHM JUMPER - 1206","2,445","0.13","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","RC_P","Active","0 Ohms","Jumper","-","Thick Film","-","-","-55°C ~ 155°C","1206 (3216 Metric)","1206","0.122"" L x 0.063"" W (3.10mm x 1.60mm)","0.026"" (0.65mm)","2","-","7C1 RoHS w/out Exemption (100% Pb-Free)"
"https://www.yageo.com/upload/media/product/app/datasheet/rchip/pyu-af_51_rohs_l.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/5786/THICKFILMRESSMD.jpg","13-AF1206JR-130RLTR-ND,13-AF1206JR-130RLCT-ND,13-AF1206JR-130RLDKR-ND","AF1206JR-130RL","YAGEO","YAGEO","RES 0 OHM JUMPER 1206","40,000","0.17","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","AF","Active","0 Ohms","Jumper","-","Thick Film","Anti-Sulfur, Automotive AEC-Q200, Moisture Resistant","-","-55°C ~ 155°C","1206 (3216 Metric)","1206","0.122"" L x 0.063"" W (3.10mm x 1.60mm)","0.026"" (0.65mm)","2","-","AEC-Q200"
"https://www.yageo.com/upload/media/product/app/datasheet/rchip/pyu-pt-group_521_rohs_l.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2494/CRSM%20PT1206.jpg","13-PT1206-R-070RLTR-ND,13-PT1206-R-070RLCT-ND,13-PT1206-R-070RLDKR-ND","PT1206-R-070RL","YAGEO","YAGEO","RES SMD 0 OHM JUMPER 1/4W 1206","5,242","0.42","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","PT","Active","0 Ohms","Jumper","-","Thick Film","Automotive AEC-Q200, Current Sense, Moisture Resistant","-","-55°C ~ 155°C","1206 (3216 Metric)","1206","0.122"" L x 0.063"" W (3.10mm x 1.60mm)","0.026"" (0.65mm)","2","-","AEC-Q200"
